clade,branches,r2,r2_log,mape,wape,slope,intercept,spearman_corr,spearman_p,pearson_corr,pearson_corr_squared,pearson_p,pearson_corr_log,pearson_p_log,ks_stat,ks_p,rmse_log,log_likelihood,mut_count,mut_type_count,corr_chem_vs_rel_freq,corr_chem_vs_rel_freq_pval,time_period
20A,all,0.55396,0.588998,1.40464,0.581963,0.690535,0.0020631,0.789914,3.04617e-33,0.759284,0.576512,2.08856e-29,0.78401,1.8683e-32,0.12,0.230782,0.00801016,-5.3689,64431,149,-0.229126,0.004797,Early clades
20A,terminal,0.555618,0.57729,1.50086,0.577546,0.703379,0.00197747,0.792365,1.41031e-33,0.76241,0.58127,9.01503e-30,0.781768,3.66581e-32,0.12,0.230782,0.00788583,-5.38836,37727,149,-0.224238,0.00580509,Early clades
20A,non-terminal,0.549364,0.582549,2.2859,0.594744,0.670641,0.00219573,0.779495,7.19934e-32,0.753616,0.567936,9.27417e-29,0.775482,2.32624e-31,0.126667,0.180395,0.00822169,-5.34142,26704,149,-0.22669,0.00527795,Early clades
20B,all,0.533377,0.565613,1.64861,0.593871,0.70217,0.00198554,0.771158,8.01101e-31,0.752389,0.566089,1.27381e-28,0.778664,9.19643e-32,0.126667,0.180395,0.00815027,-5.38478,53667,150,-0.210521,0.00971464,Early clades
20B,terminal,0.54636,0.575873,1.39623,0.579974,0.713274,0.00191151,0.787557,6.32701e-33,0.760271,0.578013,1.6039e-29,0.787782,5.90307e-33,0.133333,0.139062,0.00799543,-5.38223,31476,149,-0.204593,0.012025,Early clades
20B,non-terminal,0.512397,0.544646,2.23726,0.617352,0.68277,0.00211487,0.749151,2.91774e-28,0.739202,0.54642,3.44602e-27,0.758319,2.69927e-29,0.106667,0.361727,0.0084139,-5.38838,22191,149,-0.210038,0.00988711,Early clades
20C,all,0.569191,0.576809,1.89734,0.570007,0.698043,0.00201305,0.78042,5.47525e-32,0.767639,0.589269,2.14853e-30,0.775472,2.33252e-31,0.133333,0.139062,0.00779027,-5.37937,53947,150,-0.281414,0.000485667,Early clades
20C,terminal,0.571105,0.597389,1.41051,0.564701,0.712435,0.0019171,0.789129,3.88948e-33,0.771039,0.594501,8.28552e-31,0.791294,1.97668e-33,0.12,0.230782,0.00765361,-5.39299,32091,150,-0.262524,0.00117255,Early clades
20C,non-terminal,0.564554,0.531252,1.52009,0.570141,0.676023,0.00215985,0.758756,2.40373e-29,0.761796,0.580333,1.06452e-29,0.744106,1.03514e-27,0.133333,0.139062,0.00801984,-5.35934,21856,147,-0.300165,0.000190012,Early clades
20E,all,0.654677,0.587014,1.8542,0.545719,0.710232,0.00193179,0.772069,6.18762e-31,0.811608,0.658707,2.27336e-36,0.779397,7.41229e-32,0.0933333,0.532187,0.00751569,-5.25418,36539,150,-0.172366,0.0349271,Early clades
20E,terminal,0.650849,0.58436,1.60541,0.542769,0.721607,0.00185596,0.766702,2.7854e-30,0.810659,0.657168,3.17543e-36,0.778915,8.54226e-32,0.0933333,0.532187,0.007433,-5.28362,21861,150,-0.148781,0.0692057,Early clades
20E,non-terminal,0.656283,0.581266,2.49589,0.554833,0.690585,0.00206276,0.764733,4.78909e-30,0.811114,0.657906,2.70533e-36,0.778006,1.11559e-31,0.14,0.105738,0.00769973,-5.20985,14678,145,-0.199327,0.0144685,Early clades
20G,all,0.610516,0.543009,4.81305,0.577304,0.703487,0.00197675,0.774023,3.54088e-31,0.78827,0.621369,5.07766e-33,0.761457,1.16645e-29,0.106667,0.361727,0.00788816,-5.31282,50146,150,-0.215114,0.00820338,Early clades
20G,terminal,0.610214,0.542213,3.34619,0.572039,0.707958,0.00194695,0.772142,6.06065e-31,0.788715,0.622072,4.42283e-33,0.767334,2.33808e-30,0.113333,0.291074,0.0078413,-5.32335,29826,150,-0.193494,0.0176708,Early clades
20G,non-terminal,0.608493,0.55443,1.32006,0.582161,0.69432,0.00203787,0.762355,9.1503e-30,0.786088,0.617935,9.93125e-33,0.76076,1.40677e-29,0.0933333,0.532187,0.00799788,-5.2974,20320,146,-0.234879,0.00381354,Early clades
20I,all,0.627584,0.542442,2.64164,0.55643,0.698088,0.00201275,0.757057,3.76955e-29,0.796274,0.634052,4.0405e-34,0.751427,1.63152e-28,0.0866667,0.627917,0.00763371,-5.30303,208187,150,-0.207328,0.0109053,Early clades
20I,terminal,0.627656,0.555952,2.09642,0.54972,0.70841,0.00194393,0.761087,1.28859e-29,0.797445,0.635919,2.76291e-34,0.759897,1.77285e-29,0.0866667,0.627917,0.00753804,-5.31541,120909,150,-0.20509,0.0118143,Early clades
20I,non-terminal,0.626498,0.530237,2.03984,0.566955,0.683508,0.00210994,0.750205,2.2306e-28,0.794284,0.630887,7.65996e-34,0.745074,8.13694e-28,0.12,0.230782,0.00778072,-5.28581,87278,149,-0.209015,0.010261,Early clades
20J,all,0.5268,0.545794,1.75904,0.615229,0.671207,0.00219195,0.755151,6.21767e-29,0.743215,0.552368,1.29069e-27,0.766675,2.8068e-30,0.106667,0.361727,0.00850103,-5.34843,16284,149,-0.161259,0.0486764,Early clades
20J,terminal,0.524159,0.542529,1.49765,0.619123,0.669603,0.00220265,0.753361,9.90655e-29,0.741696,0.550114,1.87555e-27,0.769186,1.39543e-30,0.0866667,0.627917,0.00852336,-5.35892,10251,148,-0.149796,0.0673089,Early clades
20J,non-terminal,0.525125,0.543592,1.57254,0.600595,0.666105,0.00222596,0.751751,1.50132e-28,0.741452,0.549751,1.99136e-27,0.755402,5.82328e-29,0.126667,0.180395,0.00856609,-5.33059,6033,138,-0.165458,0.0430265,Early clades
21C,all,0.624854,0.589205,1.75276,0.558381,0.716746,0.00188836,0.768435,1.7215e-30,0.797055,0.635296,3.13703e-34,0.780663,5.09458e-32,0.113333,0.291074,0.00764478,-5.30009,22586,149,-0.228076,0.00499937,Early clades
21C,terminal,0.63007,0.592939,1.71209,0.560211,0.729214,0.00180524,0.773872,3.69811e-31,0.801209,0.641936,8.01287e-35,0.784237,1.74425e-32,0.113333,0.291074,0.00750285,-5.31081,13351,149,-0.20585,0.0114985,Early clades
21C,non-terminal,0.611196,0.574946,1.97441,0.561351,0.692265,0.00205157,0.753303,1.00566e-28,0.787207,0.619694,7.04811e-33,0.773275,4.3878e-31,0.14,0.105738,0.00795396,-5.28449,9235,146,-0.245882,0.00242184,Early clades
21I,all,0.551053,0.596978,1.84949,0.576159,0.689511,0.00206993,0.779268,7.69957e-32,0.757764,0.574207,3.1269e-29,0.783049,2.4968e-32,0.133333,0.139062,0.00758991,-5.39555,82142,149,-0.191193,0.0190933,Early clades
21I,terminal,0.552868,0.604696,1.54794,0.571817,0.69919,0.0020054,0.778625,9.30238e-32,0.760388,0.57819,1.55456e-29,0.788792,4.31871e-33,0.12,0.230782,0.00749869,-5.40932,49996,149,-0.177503,0.0297761,Early clades
21I,non-terminal,0.546959,0.582417,4.09665,0.589451,0.673486,0.00217676,0.776332,1.81808e-31,0.752974,0.56697,1.095e-28,0.775359,2.41e-31,0.16,0.0428317,0.00775183,-5.37413,32146,149,-0.20787,0.0106945,Early clades
